"point_id","point_type","identifier","longitude","latitude","location","ordering"
"1","sensor","1","-71.050054","42.360152","null","0"
"2","sensor","2","-71.049428","42.359373","null","0"
"3","sensor","3","-71.049337","42.358969","null","0"
"4","sensor","4","-71.0502286","42.3587852","null","0"
"5","sensor","5","-71.049972","42.358225","null","0"
"6","sensor","6","-71.050361","42.357771","null","0"
"7","sensor","7","-71.050579","42.357486","null","0"
"8","sensor","8","-71.051812","42.35967","null","0"
"9","sensor","9","-71.051847","42.359582","null","0"
"10","sensor","10","-71.051062","42.359613","null","0"
"11","sensor","11","-71.050995","42.359249","null","0"
"12","sensor","12","-71.05153","42.359138","null","0"
"13","sensor","13","-71.052115","42.358642","null","0"
"14","sensor","14","-71.054819","42.362081","null","0"
"15","sensor","15","-71.055033","42.362073","null","0"
"16","sensor","16","-71.055087","42.36201","null","0"
"17","sensor","17","-71.0579059","42.3609712","null","0"
"18","sensor","18","-71.0578656","42.3610108","null","0"
"19","sensor","19","-71.057683","42.361556","null","0"
"20","sensor","20","-71.057689","42.361849","null","0"
"21","sensor","21","-71.057364","42.361772","null","0"
"22","sensor","22","-71.057258","42.361827","null","0"
"23","sensor","23","-71.057059","42.361947","null","0"
"24","sensor","24","-71.05701","42.3619739","null","0"
"25","sensor","25","-71.056822","42.361875","null","0"
"26","sensor","26","-71.05689","42.3620469","null","0"
"27","sensor","27","-71.057056","42.362205","null","0"
"28","sensor","28","-71.057094","42.362217","null","0"
"29","sensor","29","-71.057359","42.362432","null","0"
"30","sensor","30","-71.057547","42.3628039","null","0"
"31","sensor","31","-71.057723","42.362586","null","0"
"32","sensor","32","-71.05784","42.3625619","null","0"
"33","sensor","33","-71.05796","42.362493","null","0"
"34","sensor","34","-71.058035","42.362478","null","0"
"35","sensor","35","-71.057912","42.362121","null","0"
"36","sensor","36","-71.058188","42.3618189","null","0"
"37","sensor","37","-71.058392","42.362045","null","0"
"38","sensor","38","-71.058322","42.3626069","null","0"
"39","sensor","39","-71.060037","42.360745","null","0"
"40","sensor","40","-71.059865","42.360828","null","0"
"41","sensor","41","-71.060407","42.361161","null","0"
"42","sensor","42","-71.059793","42.362716","null","0"
"43","sensor","43","-71.059977","42.362856","null","0"
"44","sensor","44","-71.06131","42.362065","null","0"
"45","sensor","45","-71.0614329","42.362372","null","0"
"46","sensor","46","-71.061303","42.362482","null","0"
"47","sensor","47","-71.060989","42.36309","null","0"
"48","sensor","48","-71.061002","42.363161","null","0"
"49","sensor","49","-71.061023","42.363191","null","0"
"50","sensor","50","-71.064613","42.360978","null","0"
"51","sensor","51","-71.063666","42.361171","null","0"
"52","sensor","52","-71.062911","42.361357","null","0"
"53","sensor","53","-71.063066","42.361476","null","0"
"54","sensor","54","-71.063668","42.361908","null","0"
"55","sensor","55","-71.062746","42.362069","null","0"
"56","sensor","56","-71.0622829","42.3624269","null","0"
"57","sensor","57","-71.062172","42.362636","null","0"
"58","sensor","58","-71.062178","42.362657","null","0"
"59","sensor","59","-71.0619789","42.363122","null","0"
"60","sensor","60","-71.061743","42.363421","null","0"
"61","sensor","61","-71.061873","42.363452","null","0"
"62","sensor","62","-71.062029","42.3634569","null","0"
"63","sensor","63","-71.063666","42.361171","null","0"
"64","sensor","64","-71.067071","42.361991","null","0"
"65","sensor","65","-71.06706","42.361599","null","0"
"66","sensor","66","-71.067007","42.361246","null","0"
"67","sensor","67","-71.067548","42.361964","null","0"
"68","sensor","68","-71.067989","42.362318","null","0"
"69","sensor","69","-71.067962","42.3612899","null","0"
"70","sensor","70","-71.068461","42.362283","null","0"
"71","sensor","71","-71.068418","42.361882","null","0"
"72","sensor","72","-71.0686005","42.3619769","null","0"
"73","sensor","73","-71.068589","42.361327","null","0"
